"categorymappingid","primarycategory","channel","lob","casetype","category","relatedwith","devicetype","isactive","secondarycategory","teritiarycategory"
"3","Accessories","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 1",True,"Suzuki Connect Sales Related","Subscription Not Sold in DMS"
"4","Accessories","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 1",True,"Suzuki Connect Sales Related","Mobile Number Not Updated"
"5","Accessories","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 1",True,"Suzuki Connect Sales Related","Vehicle Registration Number Not Updated"
"6","Accessories","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 1",True,"Suzuki Connect Sales Related","Billing Related"
"7","Accessories","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 1",True,"Suzuki Connect Sales Related","Device Connections To Be Checked(Device Inspection)"
"8","Accessories","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 1",True,"Suzuki Connect Sales Related","Replacement"
"9","Accessories","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 1",True,"Suzuki Connect Sales Related","Others"
"10","Benefit/Badge Related","Arena","Sales","Complaint","Post Sales Complaint","Sales",NULL,True,"Unable to Claim Badge",NULL
"11","Company Fitted","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 2",True,"Suzuki Connect Dealer Assistance","Device Connections To Be Checked(Device Inspection)"
"12","Company Fitted","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 2",True,"Suzuki Connect Dealer Assistance","Re-enrollment/Enrollment"
"13","Company Fitted","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 2",True,"Suzuki Connect Dealer Assistance","Vehicle Inspection"
"14","Company Fitted","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 2",True,"Suzuki Connect Dealer Assistance","Replacement"
"15","Company Fitted","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 2",True,"Suzuki Connect Dealer Assistance","Others"
"16","Company Fitted","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 2",True,"Suzuki Connect Sales Related","Subscription Not Sold in DMS"
"17","Company Fitted","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 2",True,"Suzuki Connect Sales Related","Mobile Number Not Updated"
"18","Company Fitted","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 2",True,"Suzuki Connect Sales Related","Vehicle Registration Number Not Updated"
"19","Company Fitted","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 2",True,"Suzuki Connect Sales Related","Billing Related"
"20","Company Fitted","Arena","Sales","Complaint","Post Sales Complaint","Suzuki Connect","Gen 2",True,"Suzuki Connect Sales Related","Others"
"21","Deal","Arena","Sales","Complaint","Post Sales Complaint","Sales",NULL,True,"False Commitment (Verbal)",NULL
"22","Deal","Arena","Sales","Complaint","Post Sales Complaint","Sales",NULL,True,"False Commitment (Written)",NULL
"23","Deal","Arena","Sales","Complaint","Post Sales Complaint","Sales",NULL,True,"Price of The Car(Verbal)",NULL
"24","Deal","Arena","Sales","Complaint","Post Sales Complaint","Sales",NULL,True,"Price of The Car(Written)",NULL
"25","Deal","Arena","Sales","Complaint","Post Sales Complaint","Sales",NULL,True,"Scheme/Discount Related (Verbal)",NULL
"26","Deal","Arena","Sales","Complaint","Post Sales Complaint","Sales",NULL,True,"Scheme/Discount Related (Written)",NULL
"27","Dealer Related","Arena","Sales","Complaint","Post Sales Complaint","Sales",NULL,True,"Unsatisfactory Dealer Interaction",NULL
"28","Delayed Delivery Days","Arena","Sales","Complaint","Post Sales Complaint","Sales",NULL,True,"Delayed Delivery Days (Verbal)",NULL
"29","Delivery Process","Arena","Sales","Complaint","Post Sales Complaint","Sales",NULL,True,"Delivery Process Time (Verbal)",NULL
