"channel_name","lob_name","case_type_name","hold_level_name","days","hold_start_date_after_creation"
"Arena","Service","Complaint","RSM Level","7","1"
"Arena","Service","Complaint","ZSH Level","14","1"
"Arena","Accessories","Complaint","TAM/RAM Level","10","1"
"Arena","Accessories","Complaint","ACC ZAM Level","20","1"
"Arena","Accessories","Complaint","DPO-ACC-C  Level","40","1"
"Arena","Suzuki Connect","Complaint","DPM Level","5","1"
"Nexa","Service","Complaint","RSM Level","7","1"
"Nexa","Service","Complaint","ZSH Level","14","1"
"Nexa","Accessories","Complaint","TAM/RAM Level","10","1"
"Nexa","Accessories","Complaint","ACC ZAM Level","20","1"
"Nexa","Accessories","Complaint","DPO-ACC-C  Level","40","1"
"Nexa","Suzuki Connect","Complaint","DPM Level","5","1"
"Commercial","Sales","Complaint","TSM Level","10","1"
"Commercial","Sales","Complaint","RM Level","20","1"
"Commercial","Sales","Complaint","CBH Level","40","1"
"Arena","Sales","Complaint","None","0","1"
"Arena","Service","Complaint","None","0","1"
"Arena","Accessories","Complaint","None","0","1"
"Arena","Suzuki Connect","Complaint","None","0","1"
"Nexa","Sales","Complaint","None","0","1"
"Nexa","Service","Complaint","None","0","1"
"Nexa","Accessories","Complaint","None","0","1"
"Nexa","Suzuki Connect","Complaint","None","0","1"
"True Value","True Value","Complaint","None","0","1"
"Commercial","Sales","Complaint","None","0","1"
"Commercial","Service","Complaint","None","0","1"
"Commercial","Accessories","Complaint","None","0","1"
"True Value","Accessories","Complaint","None","0","1"
"Commercial","Service","Complaint","RSM Level","7","1"
"Commercial","Service","Complaint","ZSH Level","14","1"
"Commercial","Accessories","Complaint","TAM/RAM Level","10","0"
"True Value","Accessories","Complaint","TAM/RAM Level","10","0"
"Commercial","Accessories","Complaint","ACC ZAM Level","20","0"
"Commercial","Accessories","Complaint","DPO-ACC-C  Level","40","0"
"Commercial","Accessories","Complaint","DVM ACCN  Level","41","0"
"True Value","True Value","Complaint","TVCH Level","45","1"
"True Value","True Value","Complaint","RM-TV Level","15","0"
"Commercial","Sales","Complaint","CH Level","41","1"
"Arena","Accessories","Complaint","DVM ACCN  Level","41","1"
"Nexa","Accessories","Complaint","DVM ACCN  Level","41","1"
"True Value","Accessories","Complaint","DVM ACCN  Level","41","1"
"True Value","Accessories","Complaint","DPO-ACC-C  Level","40","1"
"True Value","Accessories","Complaint","ACC ZAM Level","20","1"
"Arena","Service","Complaint","CH or DVM-ASTS Level","15","0"
"Nexa","Service","Complaint","CH or DVM-ASTS Level","15","0"
"Commercial","Service","Complaint","CH or DVM-ASTS Level","15","0"
"Arena","Sales","Complaint","TSM Level","3","1"
"Arena","Sales","Complaint","RM Level","7","1"
"Arena","Sales","Complaint","CBH Level","14","1"
"Arena","Sales","Complaint","CH Level","15","1"
"Nexa","Sales","Complaint","TSM Level","3","1"
"Nexa","Sales","Complaint","RM Level","7","1"
"Nexa","Sales","Complaint","CBH Level","14","1"
"Nexa","Sales","Complaint","CH Level","15","1"
"Arena","Suzuki Connect","Complaint","Working Level","2","1"
"Nexa","Suzuki Connect","Complaint","Working Level","2","1"
"Arena","Suzuki Connect","Complaint","DVM Level","6","1"
"Nexa","Suzuki Connect","Complaint","DVM Level","6","1"
"True Value","True Value","Complaint","ZH-TV Level","30","1"
