_id,communicationType,communicationSubType,model,variant,alternateModelName,url,activeFlag,channel
6513ca17d3e50c4536c3812b,SMS,vehicleBrochure,DZIRE,Non Tour,NEW SWIFT DZIRE,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire_6_Pages_Vertical_Web_Brochure_Updated_with_S_CNG.pdf,true,
6513ca17d3e50c4536c3812c,SMS,vehicleBrochure,DZIRE,Non Tour,SMG DZIRE,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire_6_Pages_Vertical_Web_Brochure_Updated_with_S_CNG.pdf,true,
6513ca17d3e50c4536c3812e,SMS,vehicleBrochure,S-PRESSO,Non Tour,,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Spresso_6_pager_brochure_Red_car_A4_23_New_2023_Digital.pdf,true,
6513ca17d3e50c4536c3812f,SMS,vehicleBrochure,NEW ERTIGA,Non Tour,ERTIGA,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Ertiga_6_page_brochure.pdf\r\n,true,
6513ca17d3e50c4536c38122,SMS,vehicleBrochure,NEW ALTO K10,Tour,,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tourh1/document/tourh1_leaflet.pdf?_gl=1*mdc6qg*_ga*MTk2MDQ3MTUyNC4xNjk1MzYyMzgz*_ga_M8CBMSMWSG*MTcxNDc0Mzk0Ni43LjEuMTcxNDc0NDA4OC4zMi4wLjA.,true,
6513ca17d3e50c4536c38121,SMS,vehicleBrochure,NEW ALTO K10,Non Tour,ALTO K10,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Alto_Brochure_and_Spec_Sheet_286x200MM_Digital_CS_5.pdf,true,
6513ca17d3e50c4536c38124,SMS,vehicleBrochure,ALTO 800,Tour,,NA,true,
6513ca17d3e50c4536c38130,SMS,vehicleBrochure,NEW ERTIGA,Tour,ERTIGA,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tour-m/document/tourm_leaflet.pdf?_gl=1*wd3det*_ga*MTk2MDQ3MTUyNC4xNjk1MzYyMzgz*_ga_M8CBMSMWSG*MTcxNDc0Mzk0Ni43LjEuMTcxNDc0NDE0MC41OC4wLjA.,true,
6513ca17d3e50c4536c38131,SMS,vehicleBrochure,VITARA BREZZA,Non Tour,NEW BREZZA,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/9299_S_Brezza_6_Page_CNG_Brochure.pdf,true,
6513ca18d3e50c4536c38131,SMS,vehicleBrochure,VITARA BREZZA,Tour,NEW BREZZA,https://www.marutisuzuki.com/brezza.html,true,
6513ca17d3e50c4536c38132,SMS,vehicleBrochure,EECO,Non Tour,,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Eeco-Passenger-BRAND-Leaflet.pdf,true,
6513ca17d3e50c4536c38133,SMS,vehicleBrochure,EECO,Tour,,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tourv/document/tourv_updated.pdf?_gl=1*mljghh*_ga*MTk2MDQ3MTUyNC4xNjk1MzYyMzgz*_ga_M8CBMSMWSG*MTcxNDc0Mzk0Ni43LjEuMTcxNDc0NDE4NS4xMy4wLjA.,true,
6513ca17d3e50c4536c38134,SMS,vehicleBrochure,EECO,Cargo,,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/eeco-cargo/document/eecocargo_leaflet.pdf?_gl=1*r8781u*_ga*MTk2MDQ3MTUyNC4xNjk1MzYyMzgz*_ga_M8CBMSMWSG*MTcxNDc0Mzk0Ni43LjEuMTcxNDc0NDA2MC42MC4wLjA.,true,
6513ca17d3e50c4536c38136,SMS,vehicleBrochure,FRONX,Non Tour,,https://nexaprod6.azureedge.net/-/media/feature/nexawebsitecarbrand/flash/fronx-brochure.pdf,true,
6513ca17d3e50c4536c38123,SMS,vehicleBrochure,ALTO 800,Non Tour,,NA,true,
6513ca17d3e50c4536c38125,SMS,vehicleBrochure,WAGONR,Non Tour,NEW WAGON-R,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/WagonR_MMC_Brochure_Artwork_(11.75X8.25)_Final_R_09_april_24.pdf,true,
6513ca17f3e50c4536c3812c,SMS,vehicleBrochure,DZIRE,Tour,SMG DZIRE,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tours/document/dzire-tour-s---commercial-leaflet_digital.pdf?_gl=1*113vm3b*_ga*MjA1NDIyNDg0NS4xNzAxMTU1ODM5*_ga_M8CBMSMWSG*MTcxNTY4NTA1My4xMi4xLjE3MTU2ODUwNzcuMzYuMC4w,true,
6513ca17d3e50c4536c3812d,SMS,vehicleBrochure,NEW SWIFT DZIRE,Tour,,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tours/document/dzire-tour-s---commercial-leaflet_digital.pdf?_gl=1*113vm3b*_ga*MjA1NDIyNDg0NS4xNzAxMTU1ODM5*_ga_M8CBMSMWSG*MTcxNTY4NTA1My4xMi4xLjE3MTU2ODUwNzcuMzYuMC4w,true,
6513ca17d3e50c4536c38126,SMS,vehicleBrochure,WAGONR,Tour,,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tourh3/document/tourh3_leaflet.pdf?_gl=1*mjfzdl*_ga*MTk2MDQ3MTUyNC4xNjk1MzYyMzgz*_ga_M8CBMSMWSG*MTcxNDc0Mzk0Ni43LjEuMTcxNDc0NDEwNy4xMy4wLjA.,true,
6513ca17d3e50c4536c38127,SMS,vehicleBrochure,CELERIO,Non Tour,NEW CELERIO,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/15_Page_Brochure_Celerio_Digital.pdf,true,
6513ca17d3e50c4536c38128,SMS,vehicleBrochure,CELERIO,Tour,,NA,true,
6513ca17d3e50c4536c38129,SMS,vehicleBrochure,SWIFT,Non Tour,NEW SWIFT,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/EpicNewSwift_Brochure_Vertical.pdf,true,
6513ca17d3e50c4806c38129,SMS,vehicleBrochure,SWIFT,Tour,NEW SWIFT,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Swfit_Brand_Brochure.pdf,true,
6513ca17d3e50c4536c3812a,SMS,vehicleBrochure,DZIRE,Non Tour,SWIFT DZIRE,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire_6_Pages_Vertical_Web_Brochure_Updated_with_S_CNG.pdf,true,
6513ca17d3e50c4536c38137,SMS,vehicleBrochure,JIMNY,Non Tour,,https://nexaprod2.azureedge.net/-/media/feature/nexawebsitecarbrand/rocky/jimny-brochure.pdf,true,
6513ca17d3e50c4536c38138,SMS,vehicleBrochure,GRAND VITARA,Non Tour,,https://nexaprod4.azureedge.net/-/media/feature/nexawebsiteherobanner/brochure/grand-vitara_brochure.pdf,true,
6513ca17d3e50c4536c38139,SMS,vehicleBrochure,INVICTO,Non Tour,,https://nexaprod4.azureedge.net/-/media/feature/nexawebsitecarbrand/invicto/invicto-brochure_invicto-pdf.pdf,true,
