"region","dealer_code","dealer_name","channel_name","case_id","description","created_on","created_by","updated_on","updated_by","reason_code","case_owner","status","case_sub_type_id","case_closure_date","escalation_level"
"SOUTH 2","10028 - BEZ","RNS MOTORS PRIVATE LIMITED","Arena","B0694768979","A customer called regarding a concern with the SmartPlay Studio system. I have raised an inquiry with the workshop to address their issue. For better assistance, I have also shared the Customer care Manager's (CCM) number with the customer.","2026-06-22 20:32:34.783061","81116912@maruticrm.onmicrosoft.com","2026-06-22 20:32:34.783061","81116912@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 3","10026 - VAN","VARANASI MOTORS PVT LTD","Arena","B9739740523","The customer called regarding damage to their car's front bumper caused by an accident. Since they do not have insurance coverage for this, they want to know the total estimated repair cost. I have already raised an query with the workshop. Please assist them. I have also shared the Customer Relationship Manager's (CCM) number for further information.","2026-06-22 19:25:21.960362","81116912@maruticrm.onmicrosoft.com","2026-06-22 19:25:21.960362","81116912@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH EAST 1","10219 - IGU","BHARGAVI AUTOMOBILES PVT. LTD.","Nexa","B2479738376","The customer confirmed that their vehicle is currently at the workshop for accidental repairs and has not been delivered to them yet. It has already been 25 to 30 days, and the workshop states that the delay is due to the required parts being on backorder. Since the customer belongs to a different state, they are facing extreme inconvenience. They called to demand the immediate delivery of their vehicle on a priority basis. I informed them that the case has been highlighted from our end for an urgent resolution. However, since the higher authority's contact number was not available in the system at that moment, I could not provide it to the customer. I assured them that their issue would be resolved soon.","2026-06-22 18:59:13.733569","81122558@maruticrm.onmicrosoft.com","2026-06-22 18:59:13.733569","81122558@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","2",NULL,NULL
"WEST 3","10947 - PCS","KATARIA AUTOMOBILES PVT. LTD.","Arena","B2729321536","The customer is complaining about paint peeling on their vehicle. They previously visited the workshop, but the insurance claim was not accepted. To resolve the issue, I have shared the senior official's contact number with the customer for further escalation.""","2026-06-22 18:05:36.585611","1153949@maruticrm.onmicrosoft.com","2026-06-22 18:05:36.585611","1153949@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 1","12525 - NNM","POPULAR VEHICLES & SERVICES LTD.","Nexa","B9351749435","The customer has a E Vitara car, and they are currently facing an issue related to the home charger installation. The customer is extremely troubled, the Quality Control Manager's contact number was shared with them so that their problem can be resolved as soon as possible.","2026-06-22 18:02:44.032829","1154197@maruticrm.onmicrosoft.com","2026-06-22 18:02:44.032829","1154197@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
"CENTRAL 4","13345 - MBA","ADINATH CARS PRIVATE LIMITED","Arena","B1075019968","The customer raised a concern stating that their vehicle was performing much better before it was serviced. Since the servicing, they have started facing multiple issues with the vehicle, including problems with the air conditioning (AC). The customer expressed absolute dissatisfaction with the quality of the service provided. They mentioned that they visited the workshop again to fix these issues, but they were charged a second time, and the problems still remain unresolved. Regarding this, I have provided the contact number of the higher authority to the customer and forwarded their case details from our end for an immediate resolution. I requested them to wait a little while, to which the customer agreed.","2026-06-22 17:26:03.274142","81122558@maruticrm.onmicrosoft.com","2026-06-22 17:26:03.274142","81122558@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH EAST 2","12071 - BRM","SKY AUTOMOBILES","Nexa","B9132595543","customer called and said that he has given vehicle to the workshop for abs module ,,but workshop is not responding ","2026-06-22 17:13:28.293633","1154837@maruticrm.onmicrosoft.com","2026-06-22 17:13:28.293633","1154837@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 4","15446 - JID","UNIQUE AUTOLEAD LLP","Arena","B8772597114","Customer wants to do there car service. hence share the dealer details (CCM) number.","2026-06-22 17:11:23.06961","81119542@maruticrm.onmicrosoft.com","2026-06-22 17:11:23.06961","81119542@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 2","12406 - MOH","C M AUTO SALES PVT. LTD.","Nexa","B7980786486","The customer needed the workshop to handle everything regarding their BH (Bharat) series registration number for their vehicle, but they did not provide proper assistance from their end, failed to deliver proper service, and did not provide the facilities. A concern has been raised regarding this so that they can be helped as soon as possible concerning their RTO number, and all the facilities offered upon purchasing a new car should be provided by the showroom.","2026-06-22 17:09:19.751916","81122552@maruticrm.onmicrosoft.com","2026-06-22 17:09:19.751916","81122552@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,NULL
"CENTRAL 3","10216 - MVN","VIPUL MOTORS PVT. LTD.","Arena","B7518783281","customer called and said that after service vehicle was not serviced properly and gear indicator was damaged and also not cleaned properly ","2026-06-22 16:59:44.650297","1154837@maruticrm.onmicrosoft.com","2026-06-22 16:59:44.650297","1154837@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
