communicationType,communicationSubType,model,variant,alternateModelName,url,activeFlag,Updated URL
SMS,vehicleBrochure,DZIRE,Non Tour,NEW SWIFT DZIRE,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire_6_Pages_Vertical_Web_Brochure_Updated_with_S_CNG.pdf,TRUE,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire_6_Pages_Vertical_Web_Brochure_Updated_with_S_CNG.pdf
SMS,vehicleBrochure,DZIRE,Non Tour,SMG DZIRE,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire_6_Pages_Vertical_Web_Brochure_Updated_with_S_CNG.pdf,TRUE,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire_6_Pages_Vertical_Web_Brochure_Updated_with_S_CNG.pdf
SMS,vehicleBrochure,S-PRESSO,Non Tour,,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Spresso_6_pager_brochure_Red_car_A4_23_New_2023_Digital.pdf,TRUE,https://www.marutisuzuki.com/content/dam/msil/arena/in/en/assets/cars/s-presso/documents/S-presso-Brochure.pdf
SMS,vehicleBrochure,NEW ERTIGA,Non Tour,ERTIGA,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Ertiga_6_page_brochure.pdf\r\n,TRUE,https://www.marutisuzuki.com/content/dam/msil/arena/in/en/assets/cars/ertiga/document/Arena-Ertiga-Brochure.pdf
SMS,vehicleBrochure,NEW ALTO K10,Tour,,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tourh1/document/tourh1_leaflet.pdf?_gl=1*mdc6qg*_ga*MTk2MDQ3MTUyNC4xNjk1MzYyMzgz*_ga_M8CBMSMWSG*MTcxNDc0Mzk0Ni43LjEuMTcxNDc0NDA4OC4zMi4wLjA.,TRUE,https://az-ci-afde-prd-arena-03-efddeyfchzf9akbb.z01.azurefd.net/msilintiwebpdfcopyfromdefault/Brochure_Tour_H1_Commercial.pdf
SMS,vehicleBrochure,NEW ALTO K10,Non Tour,ALTO K10,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Alto_Brochure_and_Spec_Sheet_286x200MM_Digital_CS_5.pdf,TRUE,https://www.marutisuzuki.com/content/dam/msil/arena/in/en/assets/cars/alto-k10/documents/AltoK10-KV-Brochure.pdf
SMS,vehicleBrochure,ALTO 800,Tour,,NA,TRUE,
SMS,vehicleBrochure,NEW ERTIGA,Tour,ERTIGA,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tour-m/document/tourm_leaflet.pdf?_gl=1*wd3det*_ga*MTk2MDQ3MTUyNC4xNjk1MzYyMzgz*_ga_M8CBMSMWSG*MTcxNDc0Mzk0Ni43LjEuMTcxNDc0NDE0MC41OC4wLjA.,TRUE,https://az-ci-afde-prd-arena-03-efddeyfchzf9akbb.z01.azurefd.net/msilintiwebpdfcopyfromdefault/Arena-Tour-M-Leaflet.pdf
SMS,vehicleBrochure,VITARA BREZZA,Non Tour,NEW BREZZA,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/9299_S_Brezza_6_Page_CNG_Brochure.pdf,TRUE,
SMS,vehicleBrochure,VITARA BREZZA,Tour,NEW BREZZA,https://www.marutisuzuki.com/brezza.html,TRUE,
